Team,Position,Name,Minutes_played,Games_played,Yellow_Cards,Red_Cards,Goals_scored,Penalties_scored,Own_goals,Tackles,Shots,Assists,Passes,Goals_per_Match,Cards_per_Match,Passing_Efficiency,Set
Real Sociedad,Midfielder,Illarramendi,1.822,23,8,0,1,0,0,9,11,1,1.238,0.043478260869565216,0.34782608695652173,0.6794731064763996,Train
Sevilla FC,Midfielder,R. Mesa,1.745,31,10,0,2,0,0,0,19,2,914.0,0.06451612903225806,0.3225806451612903,523.78223495702,Train
Real Betis,Defender,Sidnei,1.743,24,4,0,1,0,0,8,7,0,1.243,0.041666666666666664,0.16666666666666666,0.7131382673551349,Train
RC Celta,Forward,Sisto,834.0,25,0,0,2,0,0,0,13,1,427.0,0.08,0.0,0.511990407673861,Train
FC Barcelona,Midfielder,I. Rakitić,2.643,34,5,1,3,0,0,8,31,5,2.535,0.08823529411764706,0.17647058823529413,0.9591373439273554,Train
D. Alavés,Defender,Adrián Marín,287.0,6,2,0,0,0,0,0,2,0,82.0,0.0,0.3333333333333333,0.2857142857142857,Train
Real Madrid,Defender,Vallejo,311.0,5,1,1,1,0,0,4,1,0,156.0,0.2,0.4,0.5016077170418006,Train
CD Leganés,Forward,Sabin Merino,288.0,12,0,0,0,0,0,0,11,0,88.0,0.0,0.0,0.3055555555555556,Train
SD Huesca,Defender,Etxeita,2.678,31,11,0,4,0,1,25,18,0,882.0,0.12903225806451613,0.3548387096774194,329.3502613890964,Train
RCD Espanyol,Midfielder,Víctor Campuzano,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Levante UD,Midfielder,J. Campaña,3.213,36,12,0,4,0,0,7,14,9,1.857,0.1111111111111111,0.3333333333333333,0.5779645191409897,Train
SD Huesca,Midfielder,Moi Gómez,3.0610000000000004,36,3,0,2,0,0,3,17,7,1.42,0.05555555555555555,0.08333333333333333,0.46390068605031026,Train
FC Barcelona,Defender,Piqué,3.15,35,6,0,4,0,0,27,17,2,2.39,0.11428571428571428,0.17142857142857143,0.7587301587301588,Train
Athletic Club,Midfielder,Capa,1.6369999999999998,25,9,0,0,0,0,2,7,0,686.0,0.0,0.36,419.05925473427004,Train
CD Leganés,Defender,R. Tarín,1.429,18,3,0,0,0,0,5,4,0,468.0,0.0,0.16666666666666666,327.50174947515745,Train
D. Alavés,Midfielder,M. Wakaso,1.664,29,9,0,1,0,0,9,23,1,635.0,0.034482758620689655,0.3103448275862069,381.61057692307696,Train
Rayo Vallecano,Midfielder,Giannelli Imbula,1.739,22,7,0,1,0,0,2,14,1,710.0,0.045454545454545456,0.3181818181818182,408.28062104657846,Train
SD Eibar,Defender,N. E. Ramis ,1.682,21,4,0,0,0,0,5,13,0,809.0,0.0,0.19047619047619047,480.9750297265161,Train
D. Alavés,Midfielder,T. Pina,2.343,28,13,0,2,0,0,4,9,0,1.054,0.07142857142857142,0.4642857142857143,0.4498506188647034,Train
SD Huesca,Defender,Mantovani,699.0,9,2,0,2,0,1,3,4,0,226.0,0.2222222222222222,0.2222222222222222,0.32331902718168815,Test
Girona FC,Goalkeeper,Iraizoz,558.0,7,0,0,0,0,0,0,0,0,187.0,0.0,0.0,0.33512544802867383,Test
Atlético de Madrid,Forward,Kalinić,639.0,17,3,0,2,0,0,0,6,0,107.0,0.11764705882352941,0.17647058823529413,0.1674491392801252,Test
R. Valladolid CF,Midfielder,Pablo Muñoz,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
CD Leganés,Defender,Kravets,484.0,6,2,0,0,0,0,1,3,0,165.0,0.0,0.3333333333333333,0.3409090909090909,Test
Real Madrid,Defender,Sergio Ramos,2.474,28,5,1,6,5,0,15,25,1,1.917,0.21428571428571427,0.21428571428571427,0.7748585286984639,Test
Real Sociedad,Defender,Aritz,2.253,27,5,0,1,0,0,7,9,0,1.108,0.037037037037037035,0.18518518518518517,0.4917887261429206,Test
CD Leganés,Midfielder,Rubén Pérez J.,2.471,31,7,1,0,0,0,8,6,0,1.347,0.0,0.25806451612903225,0.5451234318089841,Test
Valencia CF,Defender,Hugo Guillamón,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
Sevilla FC,Defender,Kjaer,2.015,26,5,0,0,0,0,34,11,0,907.0,0.0,0.19230769230769232,450.12406947890815,Test
SD Huesca,Defender,Luisinho,509.0,7,4,0,0,0,0,1,3,0,195.0,0.0,0.5714285714285714,0.3831041257367387,Test
CD Leganés,Midfielder,Gumbau,1.196,16,4,1,1,1,0,2,13,1,399.0,0.0625,0.3125,333.61204013377926,Test
RCD Espanyol,Forward,Wu Lei,1.064,16,1,0,3,0,0,0,28,1,198.0,0.1875,0.0625,186.09022556390977,Test
RCD Espanyol,Defender,Naldo,1.366,16,3,0,1,0,0,13,6,1,600.0,0.0625,0.1875,439.2386530014641,Test
Real Sociedad,Forward,Willian J.,2.374,31,5,1,11,5,0,5,46,5,755.0,0.3548387096774194,0.1935483870967742,318.0286436394271,Test
Getafe CF,Midfielder,S. Cristóforo,442.0,15,3,0,0,0,0,0,1,2,143.0,0.0,0.2,0.3235294117647059,Test
